First Allele, Second Allele, Yield Rate [bu/Ad],Grain yield [bu/A]
PHN11_PHW65_0237,PB80,0.387736799,62.0378879
MOG_NC230-011-1-1-1-1-B,PB80,0.566634079,90.66145268
PHN11_PHW65_0328,PB80,0.794569345,127.1310952
B73_NC230-041-1-1-1-1,PB80,0.406632547,65.06120755
MOG_LH145_0163,PB80,0.709686424,113.5498279
MOG_NC230-010-1-1-1-1-B,PB80,0.509376977,81.50031635
MOG_OH43_0179,PB80,0.661741581,105.8786529
MOG_MO45-071-1-1-1-1-B,PB80,0.392734022,62.83744351
PHW65_MOG_0029,PB80,0.553277331,88.52437292
MOG_PHG83-090-1-1-1-1-B,PB80,0.667388798,106.7822077
MOG_NC230-043-1-1-1-1-B,PB80,0.682709916,109.2335865
PHN11_OH43_0075,PB80,0.536457595,85.83321515
PHN11_PHG47_0390,PB80,0.11980663,19.16906079
B73_NC230-127-1-1-1-1,PB80,0.44575554,71.32088633
PHN11_OH43_0045,PB80,0.107906035,17.26496558
MOG_MO45-045-1-1-1-1-B,PB80,0.555601286,88.89620573
PHN11_OH43_0142,PB80,0.029786077,4.765772247
MO44_LH145_0107,PB80,0.459748585,73.55977354
